hero-l	640	800	A gloved hand resting on a knee inside a dark closed carriage, fur collar, faint tremor in the cloth, only cold blue window light falling across the fingers, extreme close intimate framing
hero-c	1024	640	Snowbound Saint Petersburg embankment on a freezing January afternoon, a dark horse-drawn carriage moving along the frozen Neva, granite parapet under deep snow, distant cathedral dome and fortress spire dissolving in falling snow, low pale winter sun
hero-r	640	800	A carriage wheel deep in fresh snow seen from very close, iced spokes, breath of a horse as white vapour, the rest lost in blowing snow
ep0-l	640	800	A gloved hand resting on a knee inside a dark closed carriage, only cold blue window light on the fingers, faint tremor in the cloth, extreme close intimate framing
ep0-c	1024	640	Snowbound Saint Petersburg embankment on a freezing January afternoon, a dark horse-drawn carriage on the frozen Neva, granite parapet under deep snow, distant cathedral dome and fortress spire in falling snow, low pale winter sun
ep0-r	640	800	Two dark figures walking away across untouched snow toward a line of bare winter trees at dusk, long blue shadows, a narrow trampled path behind them
ep1-l	640	800	Quick pen and ink line drawing of a curly haired boy reading, single fluid contour on warm old paper, sparse graphic sketch with no shading
ep1-c	1024	640	Moscow at the turn of the nineteenth century, Red Square with the Spassky Gate tower, low houses, sledges and a market crowd in soft morning light, provincial warmth rather than imperial grandeur
ep1-r	640	800	An elderly Russian noblewoman in a dark dress and white lace cap seated by a window in a modest Moscow house, oil lamp, worn books on the table, quiet evening
ep2-l	640	800	A yellow and white neoclassical lyceum building beside a palace park in autumn, tall arched windows, avenue of old lime trees, still water of a pond
ep2-c	1024	640	Grand hall of an imperial palace at Tsarskoye Selo, gilded white and gold interior, tall arched windows, parquet reflecting candlelight, solemn and empty
ep2-r	640	800	A crimson drawing room in an imperial palace, silk damask walls, gilt furniture, a tall window with heavy curtains, watercolour interior study
ep3-l	640	800	A modest Biedermeier bachelor room in eighteen seventeen, narrow bed, writing desk piled with papers, single candle, coat thrown over a chair, early morning grey light
ep3-c	1024	640	View of the Neva river with the Peter and Paul fortress, wide granite embankment, sailing barges on calm water, classical facades along the quay, luminous silver autumn sky
ep3-r	640	800	The colonnade of the Kazan Cathedral in Saint Petersburg seen from the boulevard, carriages and strolling public in the eighteen twenties, warm afternoon light on stone
ep4-l	640	800	The wide Dnieper river at dawn, low mist lying on still water, dark reeds in the foreground, faint rose and gold light spreading along the horizon
ep4-c	1024	640	A young dark haired poet in a dark cloak alone on rocks at the edge of the Black Sea at sunset, a tall breaking wave, Crimean cliffs and cypresses behind, golden light on the water
ep4-r	640	800	A Crimean bay with cypress trees, a small white house among rocks above the sea, blue mountains beyond, calm southern afternoon
ep5-l	640	800	A small wooden manor house among tall pines in the Pskov countryside at dawn, mist between the trunks, one lit window, birches and a wooden fence
ep5-c	1024	640	A swan princess turning into a young woman at the edge of a twilight sea, iridescent pearl and silver wings, Russian fairy tale imagery, symbolist decorative painting, deep blue dusk with faint rose light
ep5-r	640	800	An old peasant nurse in a dark headscarf knitting by candlelight in a low log room, a young man listening in the shadow behind her, warm firelight
ep6-l	640	800	Formal portrait of a stern Russian general in a dark uniform with gold epaulettes and orders, dark neutral background, official military gallery portrait
ep6-c	1024	640	Portrait of a curly haired Russian poet in a dark coat with a plaid cloak over one shoulder, arms folded, intense thoughtful gaze turned away, warm olive background
ep6-r	640	800	Formal portrait of a young Russian emperor in a dark uniform with a red sash, upright and cold, dark background, official state portrait
ep7-l	640	800	A man in a dressing gown writing at a small desk by a window in a country house, candle burning low, sheets of paper scattered on the floor, autumn light outside
ep7-c	1024	640	Golden autumn in the Russian countryside, a small river winding between banks of blazing yellow birches, wide field and distant village under a high pale blue sky, luminous plein air landscape
ep7-r	640	800	A muddy country road with a lone carriage stopped at a quarantine barrier, empty autumn fields, low grey sky, bare trees along the verge
ep8-l	640	800	Watercolour portrait of a very young woman with dark hair parted in the centre, bare shoulders, a white gown, calm downcast eyes, pale luminous background
ep8-c	1024	640	A crowded Moscow ballroom in the eighteen twenties, chandeliers, dancing couples, a very young woman in a white gown standing still amid the movement, warm candlelight, blurred motion around her
ep8-r	640	800	Quick pen line drawing of a young mother seated with small children on warm old paper, single fluid contour, sparse graphic sketch
ep9-l	640	800	An open handwritten diary on a desk in candlelight, dense cursive in brown ink, a folded letter beside it, dark room, close overhead view
ep9-c	1024	640	A deserted snowfield at the edge of a birch wood on a grey winter afternoon, a trampled path in deep snow, two distant dark figures far apart, bare black branches, heavy overcast sky
ep9-r	640	800	An old pendulum wall clock in a dim study, brass face catching a little light, dark panelling, the room beyond in shadow
